Station;Maximale;Moyenne;Minimale;Précipitations
Rés. F. Ashuapmushuan - Pemonca;10,6;3,8;-3,1;0,9
Richmond;13,3;7,3;1,3;0
Rimouski;11,3;3,7;-3,9;0
Rivière-au-Tonnerre;2,6;-1,7;-6;0
Rivière-Bleue;4,6;-1,2;-6,9;0
Rivière-Boniface (forêt-SILA);0;0;0;4,5
Rivière-Cyriac;13,6;5,7;-2,3;0,5
Rivière-des-Prairies;12,4;8,5;4,5;0
Rivière-Verte-Ouest;11,6;5,6;-0,5;0
Route Transtaïga km 428;8,4;0;-8,4;0
Rouyn-Noranda - Parc Tremblay;17,1;10,3;3,5;0
Saguenay - Parc Powell;12;6,9;1,8;0
Saguenay - UQAC;11,6;6,4;1,2;0
Saint-Adrien-d'Irlande (forêt);15,2;8,5;1,8;0
Saint-Alban;8,4;4,7;1;0
Saint-Alexis-de-Matapédia;7,6;0,9;-5,9;0
Saint-Alexis-des-Monts;9,8;5;0,2;0
Saint-Ambroise;9,3;3,7;-1,9;0
Saint-Anicet;19,8;12,5;5,2;0
Saint-Arsène;6,2;0,6;-5;0
Saint-Benoît;0;0;5;0
Saint-Bernard-de-Lacolle;11,4;9;6,5;0
Saint-Camille;6,6;0,9;-4,8;0
Saint-Camille-de-Wolfe;13,7;6,9;0;0
Saint-Cassien-des-Caps (forêt);9,5;2,3;-5;0
Saint-Charles-de-Mandeville;16,1;10;3,8;0
Saint-Clément;6,3;-1;-8,2;0
Saint-Côme-de-Linière;14;5;-4;4
Sainte-Anne-de-la-Pérade;10,4;6,7;3;0
Sainte-Anne-des-Monts;4,7;-0,5;-5,7;0
Sainte-Anne-du-Lac;15,5;9,5;3,5;0
Sainte-Béatrix;10,6;6,7;2,8;0
Sainte-Catherine-de-la-Jacques-Cartier;10,2;5,2;0,1;0
Sainte-Cécile-de-Whitton (forêt);13,7;7,5;1,3;0
Sainte-Christine;7,5;2,8;-1,9;0
Sainte-Lucie;7;-0,3;-7,5;0
Saint-Elzéar-de-Bonaventure;6,7;-0,4;-7,4;0
Saint-Éphrem;0;0;0;4,1
Sainte-Rose-du-Dégelis;13;3,3;-6,5;0
Saint-Faustin-Lac-Carré;18;11,1;4,2;0
Saint-François-de-l'Île-d'Orléans;3,9;2,4;0,8;0
Saint-Georges;8,6;3,5;-1,7;3,1
Saint-Hilaire-de-Dorset;14,2;8,4;2,6;2,8
Saint-Hippolyte;15,1;8,8;2,4;0
Saint-Honoré;15,3;6,4;-2,5;0
Saint-Hyacinthe-2;14,7;9,6;4,4;0
Saint-Jean-de-Cherbourg;7,8;-0,5;-8,8;0
Saint-Jean-Port-Joli;7,2;1,3;-4,6;0
Saint-Jérôme;0;0;4,9;0
Saint-Ludger;14;5,4;-3,3;0
Saint-Malo-d'Auckland;12;8,1;4,1;0
Saint-Michel;6,9;3,6;0,2;0
Saint-Michel-des-Saints;17,2;9,5;1,8;0
Saint-Pamphile;7,4;2,3;-2,9;0
Saint-Paul;6,4;-0,4;-7,1;0
Saint-Philémon-2;0;0;-0,8;0
Saint-Pierre-de-Broughton;12,5;6,1;-0,3;2,6
Saint-Prime;11,3;3;-5,3;0
Saint-Prosper;14,7;4,9;-5;0
Saint-René-de-Matane;8,6;1,2;-6,3;0
Saint-Roch-de-l'Achigan;18,6;11,2;3,7;0
